Name,MIME Type / Internet Media Type,File Extension,More Details,More Details_link0
Curl - Applet,text/vnd.curl,.curl,Curl Applet,http://developers.curlap.com/curl/docs/caede/en/docs/en/dguide/serving-curl-applets.html
Curl - Detached Applet,text/vnd.curl.dcurl,.dcurl,Curl Detached Applet,http://developers.curlap.com/curl/docs/caede/en/docs/en/dguide/serving-curl-applets.html
Curl - Source Code,text/vnd.curl.scurl,.scurl,Curl Source Code,http://developers.curlap.com/curl/docs/caede/en/docs/en/dguide/serving-curl-applets.html
Curl - Manifest File,text/vnd.curl.mcurl,.mcurl,Curl Manifest File,http://developers.curlap.com/curl/docs/caede/en/docs/en/dguide/serving-curl-applets.html
mod_fly / fly.cgi,text/vnd.fly,.fly,IANA: Fly,http://www.iana.org/assignments/media-types/text/vnd.fly
FLEXSTOR,text/vnd.fmi.flexstor,.flx,IANA: FLEXSTOR,http://www.iana.org/assignments/media-types/text/vnd.fmi.flexstor
Graphviz,text/vnd.graphviz,.gv,IANA: Graphviz,http://www.iana.org/assignments/media-types/text/vnd.graphviz
In3D - 3DML,text/vnd.in3d.3dml,.3dml,IANA: In3D,http://www.iana.org/assignments/media-types/text/vnd.in3d.3dml
In3D - 3DML,text/vnd.in3d.spot,.spot,IANA: In3D,http://www.iana.org/assignments/media-types/text/vnd.in3d.spot
J2ME App Descriptor,text/vnd.sun.j2me.app-descriptor,.jad,IANA: J2ME App Descriptor,http://www.iana.org/assignments/media-types/text/vnd.sun.j2me.app-descriptor
Wireless Markup Language (WML),text/vnd.wap.wml,.wml,Wikipedia: WML,https://en.wikipedia.org/wiki/Wireless_Markup_Language
Wireless Markup Language Script (WMLScript),text/vnd.wap.wmlscript,.wmls,Wikipedia: WMLScript,https://en.wikipedia.org/wiki/WMLScript
Assembler Source File,text/x-asm,.s,Wikipedia: Assembly,https://en.wikipedia.org/wiki/Assembly_language
C Source File,text/x-c,.c,Wikipedia: C Programming Language,https://en.wikipedia.org/wiki/C_%28programming_language%29
Fortran Source File,text/x-fortran,.f,Wikipedia: Fortran,https://en.wikipedia.org/wiki/Fortran
Pascal Source File,text/x-pascal,.p,Wikipedia: Pascal,https://en.wikipedia.org/wiki/Pascal_%28programming_language%29
Java Source File,"text/x-java-source,java",.java,Wikipedia: Java,https://en.wikipedia.org/wiki/Java_%28programming_language%29
Setext,text/x-setext,.etx,Wikipedia: Setext,https://en.wikipedia.org/wiki/Setext
UUEncode,text/x-uuencode,.uu,Wikipedia: UUEncode,https://en.wikipedia.org/wiki/Uuencode
vCalendar,text/x-vcalendar,.vcs,Wikipedia: vCalendar,https://en.wikipedia.org/wiki/VCalendar#vCalendar_1.0
vCard,text/x-vcard,.vcf,Wikipedia: vCard,https://en.wikipedia.org/wiki/Vcard
3GP,video/3gpp,.3gp,Wikipedia: 3GP,https://en.wikipedia.org/wiki/3GP_and_3G2
3GP2,video/3gpp2,.3g2,Wikipedia: 3G2,https://en.wikipedia.org/wiki/3GP_and_3G2
H.261,video/h261,.h261,Wikipedia: H.261,https://en.wikipedia.org/wiki/H261
H.263,video/h263,.h263,Wikipedia: H.263,https://en.wikipedia.org/wiki/H263
H.264,video/h264,.h264,Wikipedia: H.264,https://en.wikipedia.org/wiki/H264
JPGVideo,video/jpeg,.jpgv,RFC 3555,http://www.rfc-editor.org/rfc/rfc3555.txt
