Name,MIME Type / Internet Media Type,File Extension,More Details,More Details_link0
Simply Accounting - Data Import,application/vnd.accpac.simply.imp,.imp,IANA: Simply Accounting,http://www.iana.org/assignments/media-types/application/vnd.accpac.simply.imp
ACU Cobol,application/vnd.acucobol,.acu,IANA: ACU Cobol,http://www.iana.org/assignments/media-types/application/vnd-acucobol
ACU Cobol,application/vnd.acucorp,.atc,IANA: ACU Cobol,http://www.iana.org/assignments/media-types/application/vnd-acucobol
Adobe AIR Application,application/vnd.adobe.air-application-installer-package+zip,.air,Building AIR Applications,http://help.adobe.com/en_US/air/build/air_buildingapps.pdf
Adobe Flex Project,application/vnd.adobe.fxp,.fxp,IANA: Adobe Flex Project,http://www.iana.org/assignments/media-types/application/vnd.adobe.fxp
Adobe XML Data Package,application/vnd.adobe.xdp+xml,.xdp,Wikipedia: XML Data Package,https://en.wikipedia.org/wiki/XML_Data_Package
Adobe XML Forms Data Format,application/vnd.adobe.xfdf,.xfdf,Wikipedia: XML Portable Document Format,https://en.wikipedia.org/wiki/XFDF#Interactive_elements
Ahead AIR Application,application/vnd.ahead.space,.ahead,IANA: Ahead AIR Application,http://www.iana.org/assignments/media-types/application/vnd.ahead.space
AirZip FileSECURE,application/vnd.airzip.filesecure.azf,.azf,IANA: AirZip,http://www.iana.org/assignments/media-types/application/vnd.airzip.filesecure.azf
AirZip FileSECURE,application/vnd.airzip.filesecure.azs,.azs,IANA: AirZip,http://www.iana.org/assignments/media-types/application/vnd.airzip.filesecure.azs
Amazon Kindle eBook format,application/vnd.amazon.ebook,.azw,Kindle Direct Publishing,https://kdp.amazon.com/self-publishing/help?topicId=A328FYMFAE7VNY
Active Content Compression,application/vnd.americandynamics.acc,.acc,IANA: Active Content Compression,http://www.iana.org/assignments/media-types/application/vnd.americandynamics.acc
AmigaDE,application/vnd.amiga.ami,.ami,IANA: Amiga,http://www.iana.org/assignments/media-types/application/vnd.amiga.ami
Android Package Archive,application/vnd.android.package-archive,.apk,Wikipedia: APK File Format,https://en.wikipedia.org/wiki/APK_%28file_format%29
ANSER-WEB Terminal Client - Certificate Issue,application/vnd.anser-web-certificate-issue-initiation,.cii,IANA: ANSWER-WEB,http://www.iana.org/assignments/media-types/application/vnd.anser-web-certificate-issue-initiation
ANSER-WEB Terminal Client - Web Funds Transfer,application/vnd.anser-web-funds-transfer-initiation,.fti,IANA: ANSWER-WEB,http://www.iana.org/assignments/media-types/application/vnd.anser-web-funds-transfer-initiation
Antix Game Player,application/vnd.antix.game-component,.atx,IANA: Antix Game Component,http://www.iana.org/assignments/media-types/application/vnd.antix.game-component
Apple Installer Package,application/vnd.apple.installer+xml,.mpkg,IANA: Apple Installer,http://www.iana.org/assignments/media-types/application/vnd.apple.installer+xml
Multimedia Playlist Unicode,application/vnd.apple.mpegurl,.m3u8,Wikipedia: M3U,https://en.wikipedia.org/wiki/M3U
Arista Networks Software Image,application/vnd.aristanetworks.swi,.swi,IANA: Arista Networks Software Image,http://www.iana.org/assignments/media-types/application/vnd.aristanetworks.swi
Audiograph,application/vnd.audiograph,.aep,IANA: Audiograph,http://www.iana.org/assignments/media-types/application/vnd.audiograph
Blueice Research Multipass,application/vnd.blueice.multipass,.mpm,IANA: Multipass,"http://www.cisionwire.com/blueice-research/r/the-multipass-gives-pda-users-better-security,e37928"
BMI Drawing Data Interchange,application/vnd.bmi,.bmi,IANA: BMI,http://www.iana.org/assignments/media-types/application/vnd.bmi
BusinessObjects,application/vnd.businessobjects,.rep,IANA: BusinessObjects,http://www.iana.org/assignments/media-types/application/vnd.businessobjects
CambridgeSoft Chem Draw,application/vnd.chemdraw+xml,.cdxml,IANA: Chem Draw,http://www.iana.org/assignments/media-types/application/vnd.chemdraw+xml
Karaoke on Chipnuts Chipsets,application/vnd.chipnuts.karaoke-mmd,.mmd,IANA: Chipnuts Karaoke,http://www.iana.org/assignments/media-types/application/vnd.chipnuts.karaoke-mmd
Interactive Geometry Software Cinderella,application/vnd.cinderella,.cdy,IANA: Cinderella,http://www.iana.org/assignments/media-types/application/vnd.cinderella
Claymore Data Files,application/vnd.claymore,.cla,IANA: Claymore,http://www.iana.org/assignments/media-types/application/vnd.claymore
RetroPlatform Player,application/vnd.cloanto.rp9,.rp9,IANA: RetroPlatform Player,http://www.iana.org/assignments/media-types/application/vnd.cloanto.rp9
Clonk Game,application/vnd.clonk.c4group,.c4g,IANA: Clonk,http://www.iana.org/assignments/media-types/application/vnd.clonk.c4group
ClueTrust CartoMobile - Config,application/vnd.cluetrust.cartomobile-config,.c11amc,IANA: CartoMobile,http://www.iana.org/assignments/media-types/application/vnd.cluetrust.cartomobile-config
ClueTrust CartoMobile - Config Package,application/vnd.cluetrust.cartomobile-config-pkg,.c11amz,IANA: CartoMobile,http://www.iana.org/assignments/media-types/application/vnd.cluetrust.cartomobile-config
Sixth Floor Media - CommonSpace,application/vnd.commonspace,.csp,IANA: CommonSpace,http://www.iana.org/assignments/media-types/application/vnd.commonspace
CIM Database,application/vnd.contact.cmsg,.cdbcmsg,IANA: CIM Database,http://www.iana.org/assignments/media-types/application/vnd.contact.cmsg
CosmoCaller,application/vnd.cosmocaller,.cmc,IANA: CosmoCaller,http://www.iana.org/assignments/media-types/application/vnd.cosmocaller
CrickSoftware - Clicker,application/vnd.crick.clicker,.clkx,IANA: Clicker,http://www.iana.org/assignments/media-types/application/vnd.crick.clicker
CrickSoftware - Clicker - Keyboard,application/vnd.crick.clicker.keyboard,.clkk,IANA: Clicker,http://www.iana.org/assignments/media-types/application/vnd.crick.clicker
CrickSoftware - Clicker - Palette,application/vnd.crick.clicker.palette,.clkp,IANA: Clicker,http://www.iana.org/assignments/media-types/application/vnd.crick.clicker
CrickSoftware - Clicker - Template,application/vnd.crick.clicker.template,.clkt,IANA: Clicker,http://www.iana.org/assignments/media-types/application/vnd.crick.clicker
CrickSoftware - Clicker - Wordbank,application/vnd.crick.clicker.wordbank,.clkw,IANA: Clicker,http://www.iana.org/assignments/media-types/application/vnd.crick.clicker
Critical Tools - PERT Chart EXPERT,application/vnd.criticaltools.wbs+xml,.wbs,IANA: Critical Tools,http://www.iana.org/assignments/media-types/application/vnd.criticaltools.wbs+xml
PosML,application/vnd.ctc-posml,.pml,IANA: PosML,http://www.iana.org/assignments/media-types/application/vnd.ctc-posml
Adobe PostScript Printer Description File Format,application/vnd.cups-ppd,.ppd,IANA: Cups,http://www.iana.org/assignments/media-types/application/vnd.cups-ppd
CURL Applet,application/vnd.curl.car,.car,IANA: CURL Applet,http://www.iana.org/assignments/media-types/application/vnd.curl.car
CURL Applet,application/vnd.curl.pcurl,.pcurl,IANA: CURL Applet,http://www.iana.org/assignments/media-types/application/vnd.curl.pcurl
RemoteDocs R-Viewer,application/vnd.data-vision.rdz,.rdz,IANA: Data-Vision,http://www.iana.org/assignments/media-types/application/vnd.data-vision.rdz
FCS Express Layout Link,application/vnd.denovo.fcselayout-link,.fe_launch,IANA: FCS Express Layout Link,http://www.iana.org/assignments/media-types/application/vnd.denovo.fcselayout-link
New Moon Liftoff/DNA,application/vnd.dna,.dna,IANA: New Moon Liftoff/DNA,http://www.iana.org/assignments/media-types/application/vnd.dna
Dolby Meridian Lossless Packing,application/vnd.dolby.mlp,.mlp,IANA: Dolby Meridian Lossless Packing,http://www.iana.org/assignments/media-types/application/vnd.dolby.mlp
DPGraph,application/vnd.dpgraph,.dpg,IANA: DPGraph,http://www.iana.org/assignments/media-types/application/vnd.dpgraph
DreamFactory,application/vnd.dreamfactory,.dfac,IANA: DreamFactory,http://www.iana.org/assignments/media-types/application/vnd.dreamfactory
Digital Video Broadcasting,application/vnd.dvb.ait,.ait,IANA: Digital Video Broadcasting,http://www.iana.org/assignments/media-types/application/vnd.dvb.ait
Digital Video Broadcasting,application/vnd.dvb.service,.svc,IANA: Digital Video Broadcasting,http://www.iana.org/assignments/media-types/application/vnd.dvb.svc
DynaGeo,application/vnd.dynageo,.geo,IANA: DynaGeo,http://www.iana.org/assignments/media-types/application/vnd.dynageo
EcoWin Chart,application/vnd.ecowin.chart,.mag,IANA: EcoWin Chart,http://www.iana.org/assignments/media-types/application/vnd.ecowin.chart
Enliven Viewer,application/vnd.enliven,.nml,IANA: Enliven Viewer,http://www.iana.org/assignments/media-types/application/vnd.enliven
QUASS Stream Player,application/vnd.epson.esf,.esf,IANA: QUASS Stream Player,http://www.iana.org/assignments/media-types/application/vnd.epson.esf
QUASS Stream Player,application/vnd.epson.msf,.msf,IANA: QUASS Stream Player,http://www.iana.org/assignments/media-types/application/vnd.epson.msf
QuickAnime Player,application/vnd.epson.quickanime,.qam,IANA: QuickAnime Player,http://www.iana.org/assignments/media-types/application/vnd.epson.quickanime
SimpleAnimeLite Player,application/vnd.epson.salt,.slt,IANA: SimpleAnimeLite Player,http://www.iana.org/assignments/media-types/application/vnd.epson.salt
QUASS Stream Player,application/vnd.epson.ssf,.ssf,IANA: QUASS Stream Player,http://www.iana.org/assignments/media-types/application/vnd.epson.ssf
MICROSEC e-Szign�,application/vnd.eszigno3+xml,.es3,IANA: MICROSEC e-Szign�,http://www.iana.org/assignments/media-types/application/vnd.eszigno3+xml
EZPix Secure Photo Album,application/vnd.ezpix-album,.ez2,IANA: EZPix Secure Photo Album,http://www.iana.org/assignments/media-types/application/vnd.ezpix-album
EZPix Secure Photo Album,application/vnd.ezpix-package,.ez3,IANA: EZPix Secure Photo Album,http://www.iana.org/assignments/media-types/application/vnd.ezpix-package
Forms Data Format,application/vnd.fdf,.fdf,IANA: Forms Data Format,http://www.iana.org/assignments/media-types/application/vnd-fdf
Digital Siesmograph Networks - SEED Datafiles,application/vnd.fdsn.seed,.seed,IANA: SEED,http://www.iana.org/assignments/media-types/application/vnd.fdsn.seed
NpGraphIt,application/vnd.flographit,.gph,IANA: FloGraphIt,http://www.iana.org/assignments/media-types/application/vnd.flographit
FluxTime Clip,application/vnd.fluxtime.clip,.ftc,IANA: FluxTime Clip,http://www.iana.org/assignments/media-types/application/vnd.fluxtime.clip
FrameMaker Normal Format,application/vnd.framemaker,.fm,IANA: FrameMaker,http://www.iana.org/assignments/media-types/application/vnd.framemaker
Frogans Player,application/vnd.frogans.fnc,.fnc,IANA: Frogans Player,http://www.iana.org/assignments/media-types/application/vnd.frogans.fnc
Frogans Player,application/vnd.frogans.ltf,.ltf,IANA: Frogans Player,http://www.iana.org/assignments/media-types/application/vnd.frogans.ltf
Friendly Software Corporation,application/vnd.fsc.weblaunch,.fsc,IANA: Friendly Software Corporation,http://www.iana.org/assignments/media-types/application/vnd.fsc.weblaunch
Fujitsu Oasys,application/vnd.fujitsu.oasys,.oas,IANA: Fujitsu Oasys,http://www.iana.org/assignments/media-types/application/vnd.fujitsu.oasys
Fujitsu Oasys,application/vnd.fujitsu.oasys2,.oa2,IANA: Fujitsu Oasys,http://www.iana.org/assignments/media-types/application/vnd.fujitsu.oasys2
Fujitsu Oasys,application/vnd.fujitsu.oasys3,.oa3,IANA: Fujitsu Oasys,http://www.iana.org/assignments/media-types/application/vnd.fujitsu.oasys3
Fujitsu Oasys,application/vnd.fujitsu.oasysgp,.fg5,IANA: Fujitsu Oasys,http://www.iana.org/assignments/media-types/application/vnd.fujitsu.oasysgp
Fujitsu Oasys,application/vnd.fujitsu.oasysprs,.bh2,IANA: Fujitsu Oasys,http://www.iana.org/assignments/media-types/application/vnd.fujitsu.oasysprs
Fujitsu - Xerox 2D CAD Data,application/vnd.fujixerox.ddd,.ddd,IANA: Fujitsu DDD,http://www.iana.org/assignments/media-types/application/vnd.fujixerox.ddd
Fujitsu - Xerox DocuWorks,application/vnd.fujixerox.docuworks,.xdw,IANA: Docuworks,http://www.iana.org/assignments/media-types/application/vnd.fujixerox.docuworks
Fujitsu - Xerox DocuWorks Binder,application/vnd.fujixerox.docuworks.binder,.xbd,IANA: Docuworks Binder,http://www.iana.org/assignments/media-types/application/vnd.fujixerox.docuworks.binder
FuzzySheet,application/vnd.fuzzysheet,.fzs,IANA: FuzySheet,http://www.iana.org/assignments/media-types/application/vnd.fuzzysheet
Genomatix Tuxedo Framework,application/vnd.genomatix.tuxedo,.txd,IANA: Genomatix Tuxedo Framework,http://www.iana.org/assignments/media-types/application/vnd.genomatix.tuxedo
GeoGebra,application/vnd.geogebra.file,.ggb,IANA: GeoGebra,http://www.iana.org/assignments/media-types/application/vnd.geogebra.file
GeoGebra,application/vnd.geogebra.tool,.ggt,IANA: GeoGebra,http://www.iana.org/assignments/media-types/application/vnd.geogebra.tool
GeoMetry Explorer,application/vnd.geometry-explorer,.gex,IANA: GeoMetry Explorer,http://www.iana.org/assignments/media-types/application/vnd.geometry-explorer
GEONExT and JSXGraph,application/vnd.geonext,.gxt,IANA: GEONExT and JSXGraph,http://www.iana.org/assignments/media-types/application/vnd.geonext
GeoplanW,application/vnd.geoplan,.g2w,IANA: GeoplanW,http://www.iana.org/assignments/media-types/application/vnd.geoplan
GeospacW,application/vnd.geospace,.g3w,IANA: GeospacW,http://www.iana.org/assignments/media-types/application/vnd.geospace
GameMaker ActiveX,application/vnd.gmx,.gmx,IANA: GameMaker ActiveX,http://www.iana.org/assignments/media-types/application/vnd.gmx
Google Earth - KML,application/vnd.google-earth.kml+xml,.kml,IANA: Google Earth,http://www.iana.org/assignments/media-types/application/vnd.google-earth.kml+xml
Google Earth - Zipped KML,application/vnd.google-earth.kmz,.kmz,IANA: Google Earth,http://www.iana.org/assignments/media-types/application/vnd.google-earth.kmz
GrafEq,application/vnd.grafeq,.gqf,IANA: GrafEq,http://www.iana.org/assignments/media-types/application/vnd.grafeq
Groove - Account,application/vnd.groove-account,.gac,IANA: Groove,http://www.iana.org/assignments/media-types/application/vnd.groove-account
Groove - Help,application/vnd.groove-help,.ghf,IANA: Groove,http://www.iana.org/assignments/media-types/application/vnd.groove-help
Groove - Identity Message,application/vnd.groove-identity-message,.gim,IANA: Groove,http://www.iana.org/assignments/media-types/application/vnd.groove-identity-message
Groove - Injector,application/vnd.groove-injector,.grv,IANA: Groove,http://www.iana.org/assignments/media-types/application/vnd.groove-injector
Groove - Tool Message,application/vnd.groove-tool-message,.gtm,IANA: Groove,http://www.iana.org/assignments/media-types/application/vnd.groove-tool-message
Groove - Tool Template,application/vnd.groove-tool-template,.tpl,IANA: Groove,http://www.iana.org/assignments/media-types/application/vnd.groove-tool-template
Groove - Vcard,application/vnd.groove-vcard,.vcg,IANA: Groove,http://www.iana.org/assignments/media-types/application/vnd.groove-vcard
Hypertext Application Language,application/vnd.hal+xml,.hal,IANA: HAL,http://www.iana.org/assignments/media-types/application/vnd.hal+xml
ZVUE Media Manager,application/vnd.handheld-entertainment+xml,.zmm,IANA: ZVUE Media Manager,http://www.iana.org/assignments/media-types/application/vnd.HandHeld-Entertainment+xml
Homebanking Computer Interface (HBCI),application/vnd.hbci,.hbci,IANA: HBCI,http://www.iana.org/assignments/media-types/application/vnd.hbci
Archipelago Lesson Player,application/vnd.hhe.lesson-player,.les,IANA: Archipelago Lesson Player,http://www.iana.org/assignments/media-types/application/vnd.hhe.lesson-player
HP-GL/2 and HP RTL,application/vnd.hp-hpgl,.hpgl,IANA: HP-GL/2 and HP RTL,http://www.iana.org/assignments/media-types/application/vnd.hp-HPGL
Hewlett Packard Instant Delivery,application/vnd.hp-hpid,.hpid,IANA: Hewlett Packard Instant Delivery,http://www.iana.org/assignments/media-types/application/vnd.hp-hpid
Hewlett-Packard's WebPrintSmart,application/vnd.hp-hps,.hps,IANA: Hewlett-Packard's WebPrintSmart,http://www.iana.org/assignments/media-types/application/vnd.hp-hps
HP Indigo Digital Press - Job Layout Languate,application/vnd.hp-jlyt,.jlt,IANA: HP Job Layout Language,http://www.iana.org/assignments/media-types/application/vnd.hp-jlyt
HP Printer Command Language,application/vnd.hp-pcl,.pcl,IANA: HP Printer Command Language,http://www.iana.org/assignments/media-types/application/vnd.hp-PCL
PCL 6 Enhanced (Formely PCL XL),application/vnd.hp-pclxl,.pclxl,IANA: HP PCL XL,http://www.iana.org/assignments/media-types/application/vnd.hp-PCLXL
Hydrostatix Master Suite,application/vnd.hydrostatix.sof-data,.sfd-hdstx,IANA: Hydrostatix Master Suite,http://www.iana.org/assignments/media-types/application/vnd.hydrostatix.sof-data
3D Crossword Plugin,application/vnd.hzn-3d-crossword,.x3d,IANA: 3D Crossword Plugin,http://www.iana.org/assignments/media-types/application/vnd.hzn-3d-crossword
MiniPay,application/vnd.ibm.minipay,.mpy,IANA: MiniPay,http://www.iana.org/assignments/media-types/application/vnd.ibm.MiniPay
MO:DCA-P,application/vnd.ibm.modcap,.afp,IANA: MO:DCA-P,http://www.iana.org/assignments/media-types/application/vnd.ibm.modcap
IBM DB2 Rights Manager,application/vnd.ibm.rights-management,.irm,IANA: IBM DB2 Rights Manager,http://www.iana.org/assignments/media-types/application/vnd.ibm.rights-management
IBM Electronic Media Management System - Secure Container,application/vnd.ibm.secure-container,.sc,IANA: EMMS,http://www.iana.org/assignments/media-types/application/vnd.ibm.secure-container
ICC profile,application/vnd.iccprofile,.icc,IANA: ICC profile,http://www.iana.org/assignments/media-types/application/vnd.iccprofile
igLoader,application/vnd.igloader,.igl,IANA: igLoader,http://www.iana.org/assignments/media-types/application/vnd.igloader
ImmerVision PURE Players,application/vnd.immervision-ivp,.ivp,IANA: ImmerVision PURE Players,http://www.iana.org/assignments/media-types/application/vnd.immervision-ivp
ImmerVision PURE Players,application/vnd.immervision-ivu,.ivu,IANA: ImmerVision PURE Players,http://www.iana.org/assignments/media-types/application/vnd.immervision-ivu
IOCOM Visimeet,application/vnd.insors.igm,.igm,IANA: IOCOM Visimeet,http://www.iana.org/assignments/media-types/application/vnd.insors.igm
Intercon FormNet,application/vnd.intercon.formnet,.xpw,IANA: Intercon FormNet,http://www.iana.org/assignments/media-types/application/vnd.intercon.formnet
Interactive Geometry Software,application/vnd.intergeo,.i2g,IANA: Interactive Geometry Software,http://www.iana.org/assignments/media-types/application/vnd.intergeo
Open Financial Exchange,application/vnd.intu.qbo,.qbo,IANA: Open Financial Exchange,http://www.iana.org/assignments/media-types/application/vnd.intu.qbo
Quicken,application/vnd.intu.qfx,.qfx,IANA: Quicken,http://www.iana.org/assignments/media-types/application/vnd.intu.qfx
IP Unplugged Roaming Client,application/vnd.ipunplugged.rcprofile,.rcprofile,IANA: IP Unplugged Roaming Client,http://www.iana.org/assignments/media-types/application/vnd.ipunplugged.rcprofile
iRepository / Lucidoc Editor,application/vnd.irepository.package+xml,.irp,IANA: iRepository / Lucidoc Editor,http://www.iana.org/assignments/media-types/application/vnd.irepository.package+xml
Express by Infoseek,application/vnd.is-xpr,.xpr,IANA: Express by Infoseek,http://www.iana.org/assignments/media-types/application/vnd.is-xpr
International Society for Advancement of Cytometry,application/vnd.isac.fcs,.fcs,IANA: International Society for Advancement of Cytometry,http://www.iana.org/assignments/media-types/application/vnd.isac.fcs
Lightspeed Audio Lab,application/vnd.jam,.jam,IANA: Lightspeed Audio Lab,http://www.iana.org/assignments/media-types/application/vnd.jam
Mobile Information Device Profile,application/vnd.jcp.javame.midlet-rms,.rms,IANA: Mobile Information Device Profile,http://www.iana.org/assignments/media-types/application/vnd.jcp.javame.midlet-rms
RhymBox,application/vnd.jisp,.jisp,IANA: RhymBox,http://www.iana.org/assignments/media-types/application/vnd.jisp
Joda Archive,application/vnd.joost.joda-archive,.joda,IANA: Joda Archive,http://www.iana.org/assignments/media-types/application/vnd.joost.joda-archive
Kahootz,application/vnd.kahootz,.ktz,IANA: Kahootz,http://www.iana.org/assignments/media-types/application/vnd.kahootz
KDE KOffice Office Suite - Karbon,application/vnd.kde.karbon,.karbon,IANA: KDE KOffice Office Suite,http://www.iana.org/assignments/media-types/application/vnd.kde.karbon
KDE KOffice Office Suite - KChart,application/vnd.kde.kchart,.chrt,IANA: KDE KOffice Office Suite,http://www.iana.org/assignments/media-types/application/vnd.kde.kchart
KDE KOffice Office Suite - Kformula,application/vnd.kde.kformula,.kfo,IANA: KDE KOffice Office Suite,http://www.iana.org/assignments/media-types/application/vnd.kde.kformula
KDE KOffice Office Suite - Kivio,application/vnd.kde.kivio,.flw,IANA: KDE KOffice Office Suite,http://www.iana.org/assignments/media-types/application/vnd.kde.kivio
KDE KOffice Office Suite - Kontour,application/vnd.kde.kontour,.kon,IANA: KDE KOffice Office Suite,http://www.iana.org/assignments/media-types/application/vnd.kde.kontour
KDE KOffice Office Suite - Kpresenter,application/vnd.kde.kpresenter,.kpr,IANA: KDE KOffice Office Suite,http://www.iana.org/assignments/media-types/application/vnd.kde.kpresenter
KDE KOffice Office Suite - Kspread,application/vnd.kde.kspread,.ksp,IANA: KDE KOffice Office Suite,http://www.iana.org/assignments/media-types/application/vnd.kde.kspread
KDE KOffice Office Suite - Kword,application/vnd.kde.kword,.kwd,IANA: KDE KOffice Office Suite,http://www.iana.org/assignments/media-types/application/vnd.kde.kword
Kenamea App,application/vnd.kenameaapp,.htke,IANA: Kenamea App,http://www.iana.org/assignments/media-types/application/vnd.kenameaapp
Kidspiration,application/vnd.kidspiration,.kia,IANA: Kidspiration,http://www.iana.org/assignments/media-types/application/vnd.kidspiration
Kinar Applications,application/vnd.kinar,.kne,IANA: Kina Applications,http://www.iana.org/assignments/media-types/application/vnd.Kinar
SSEYO Koan Play File,application/vnd.koan,.skp,IANA: SSEYO Koan Play File,http://www.iana.org/assignments/media-types/application/vnd.koan
Kodak Storyshare,application/vnd.kodak-descriptor,.sse,IANA: Kodak Storyshare,http://www.iana.org/assignments/media-types/application/vnd.kodak-descriptor
Laser App Enterprise,application/vnd.las.las+xml,.lasxml,IANA: Laser App Enterprise,http://www.iana.org/assignments/media-types/application/vnd.las.las+xml
Life Balance - Desktop Edition,application/vnd.llamagraphics.life-balance.desktop,.lbd,IANA: Life Balance,http://www.iana.org/assignments/media-types/application/vnd.llamagraphics.life-balance.desktop
Life Balance - Exchange Format,application/vnd.llamagraphics.life-balance.exchange+xml,.lbe,IANA: Life Balance,http://www.iana.org/assignments/media-types/application/vnd.llamagraphics.life-balance.exchange+xml
Lotus 1-2-3,application/vnd.lotus-1-2-3,.123,IANA: Lotus 1-2-3,http://www.iana.org/assignments/media-types/application/vnd.lotus-1-2-3
Lotus Approach,application/vnd.lotus-approach,.apr,IANA: Lotus Approach,http://www.iana.org/assignments/media-types/application/vnd.lotus-approach
Lotus Freelance,application/vnd.lotus-freelance,.pre,IANA: Lotus Freelance,http://www.iana.org/assignments/media-types/application/vnd.lotus-freelance
Lotus Notes,application/vnd.lotus-notes,.nsf,IANA: Lotus Notes,http://www.iana.org/assignments/media-types/application/vnd.lotus-notes
Lotus Organizer,application/vnd.lotus-organizer,.org,IANA: Lotus Organizer,http://www.iana.org/assignments/media-types/application/vnd.lotus-organizer
Lotus Screencam,application/vnd.lotus-screencam,.scm,IANA: Lotus Screencam,http://www.iana.org/assignments/media-types/application/vnd.lotus-screencam
Lotus Wordpro,application/vnd.lotus-wordpro,.lwp,IANA: Lotus Wordpro,http://www.iana.org/assignments/media-types/application/vnd.lotus-wordpro
MacPorts Port System,application/vnd.macports.portpkg,.portpkg,IANA: MacPorts Port System,http://www.iana.org/assignments/media-types/application/vnd.macports.portpkg
Micro CADAM Helix D&D,application/vnd.mcd,.mcd,IANA: Micro CADAM Helix D&D,http://www.iana.org/assignments/media-types/application/vnd.mcd
MedCalc,application/vnd.medcalcdata,.mc1,IANA: MedCalc,http://www.iana.org/assignments/media-types/application/vnd.medcalcdata
MediaRemote,application/vnd.mediastation.cdkey,.cdkey,IANA: MediaRemote,http://www.iana.org/assignments/media-types/application/vnd.mediastation.cdkey
Medical Waveform Encoding Format,application/vnd.mfer,.mwf,IANA: Medical Waveform Encoding Format,http://www.iana.org/assignments/media-types/application/vnd.MFER
Melody Format for Mobile Platform,application/vnd.mfmp,.mfm,IANA: Melody Format for Mobile Platform,http://www.iana.org/assignments/media-types/application/vnd.mfmp
Micrografx,application/vnd.micrografx.flo,.flo,IANA: Micrografx,http://www.iana.org/assignments/media-types/application/vnd.micrografx.flo
Micrografx iGrafx Professional,application/vnd.micrografx.igx,.igx,IANA: Micrografx,http://www.iana.org/assignments/media-types/application/vnd.micrografx.igx
FrameMaker Interchange Format,application/vnd.mif,.mif,IANA: FrameMaker Interchange Format,http://www.iana.org/assignments/media-types/application/vnd-mif
Mobius Management Systems - UniversalArchive,application/vnd.mobius.daf,.daf,IANA: Mobius Management Systems,http://www.iana.org/assignments/media-types/application/vnd.Mobius.DAF
Mobius Management Systems - Distribution Database,application/vnd.mobius.dis,.dis,IANA: Mobius Management Systems,http://www.iana.org/assignments/media-types/application/vnd.mobius.dis
Mobius Management Systems - Basket file,application/vnd.mobius.mbk,.mbk,IANA: Mobius Management Systems,http://www.iana.org/assignments/media-types/application/vnd.mobius.mbk
Mobius Management Systems - Query File,application/vnd.mobius.mqy,.mqy,IANA: Mobius Management Systems,http://www.iana.org/assignments/media-types/application/vnd.mobius.mqy
Mobius Management Systems - Script Language,application/vnd.mobius.msl,.msl,IANA: Mobius Management Systems,http://www.iana.org/assignments/media-types/application/vnd.mobius.msl
Mobius Management Systems - Policy Definition Language File,application/vnd.mobius.plc,.plc,IANA: Mobius Management Systems,http://www.iana.org/assignments/media-types/application/vnd.mobius.plc
Mobius Management Systems - Topic Index File,application/vnd.mobius.txf,.txf,IANA: Mobius Management Systems,http://www.iana.org/assignments/media-types/application/vnd.mobius.txf
Mophun VM,application/vnd.mophun.application,.mpn,IANA: Mophun VM,http://www.iana.org/assignments/media-types/application/vnd.mophun.application
Mophun Certificate,application/vnd.mophun.certificate,.mpc,IANA: Mophun Certificate,http://www.iana.org/assignments/media-types/application/vnd.mophun.certificate
XUL - XML User Interface Language,application/vnd.mozilla.xul+xml,.xul,IANA: XUL,http://www.iana.org/assignments/media-types/application/vnd.mozilla.xul+xml
Microsoft Artgalry,application/vnd.ms-artgalry,.cil,IANA: MS Artgalry,http://www.iana.org/assignments/media-types/application/vnd.ms-artgalry
Microsoft Cabinet File,application/vnd.ms-cab-compressed,.cab,IANA: MS Cabinet File,http://www.iana.org/assignments/media-types/application/vnd.ms-cab-compressed
Microsoft Excel,application/vnd.ms-excel,.xls,IANA: MS Excel,http://www.iana.org/assignments/media-types/application/vnd.ms-excel
Microsoft Excel - Add-In File,application/vnd.ms-excel.addin.macroenabled.12,.xlam,IANA: MS Excel,http://www.iana.org/assignments/media-types/application/vnd.ms-excel.addin.macroEnabled.12
Microsoft Excel - Binary Workbook,application/vnd.ms-excel.sheet.binary.macroenabled.12,.xlsb,IANA: MS Excel,http://www.iana.org/assignments/media-types/application/vnd.ms-excel.sheet.binary.macroEnabled.12
Microsoft Excel - Macro-Enabled Workbook,application/vnd.ms-excel.sheet.macroenabled.12,.xlsm,IANA: MS Excel,http://www.iana.org/assignments/media-types/application/vnd.ms-excel.sheet.macroEnabled.12
Microsoft Excel - Macro-Enabled Template File,application/vnd.ms-excel.template.macroenabled.12,.xltm,IANA: MS Excel,http://www.iana.org/assignments/media-types/application/vnd.ms-excel.template.macroEnabled.12
Microsoft Embedded OpenType,application/vnd.ms-fontobject,.eot,IANA: MS Embedded OpenType,http://www.iana.org/assignments/media-types/application/vnd.ms-fontobject
Microsoft Html Help File,application/vnd.ms-htmlhelp,.chm,IANA:MS Html Help File,http://www.iana.org/assignments/media-types/application/vnd.ms-htmlhelp
Microsoft Class Server,application/vnd.ms-ims,.ims,IANA: MS Class Server,http://www.iana.org/assignments/media-types/application/vnd.ms-ims
Microsoft Learning Resource Module,application/vnd.ms-lrm,.lrm,IANA: MS Learning Resource Module,http://www.iana.org/assignments/media-types/application/vnd.ms-lrm
Microsoft Office System Release Theme,application/vnd.ms-officetheme,.thmx,IANA: MS Office System Release Theme,http://www.iana.org/assignments/media-types/application/vnd.ms-officetheme
